topic,count
artificial intelligence,33
computer vision,6
text encoding,6
german language,7
question words,2
interrogatives,1
middle welsh,1
religious texts,1
fluid translations,1
book of the anchorite,1
text representation,1
computational methods,18
edition,2
digital,6
updates,1
current,1
network analysis,17
research methods,17
case studies,2
academic research,4
narrative structure,1
quantitative methods,9
lexikography,1
dictionary,2
online,2
reference,1
talk overview,1
future trends,1
lecture series,2
information retrieval,4
maya hieroglyphys,1
decipherment,1
challenges,7
results,1
historical linguistics,7
computational semantics,1
narrative,7
folktale,1
computational,4
text classification,3
metaphor analysis,1
argumentation analysis,1
romantyposkript,1
hermann burger,1
local report,1
multilingual,2
basel,2
application,3
examples,1
swiss,1
music ,2
competitions ,1
18th century ,1
19th century ,1
roman history,1
topic modeling,4
ancient studies,1
latin literature,1
handwriting recognition,4
language,5
european,1
bonn,2
paris,2
max weber stiftung,1
kunstgeschichte,1
canada,1
social knowledge,1
institutional framework,1
immersion,1
mapping,6
location,1
prototyping,4
geographic information,1
dh intro,1
faq,1
german dh,1
reflected text,1
linguistic methods,1
mobile apps,1
history education,2
interactive learning,1
public outreach,1
urban studies,1
computation,2
urban science,1
visual arts,2
digital methods,3
humanities,11
mathematical modeling,1
heritage analysis,1
algorithmic transformations,1
south asian languages,1
cologne project,1
sound,4
auditory display,1
data representation,4
audio interpretation,1
sensory data,1
introductory overview,1
informational talk,1
contextual background,1
blogs,1
twitter,1
science communication,2
practices,2
analysis,5
matters of knowledge,1
biographies,1
theatre history,1
cultural impact,1
computer linguistics,1
exploration,6
applicability,1
research data management,4
document analysis,2
image processing,6
ocr,5
interface,1
semiotics,3
arts,1
football,3
sports analysis,1
text encoding initiative,2
data linking,4
xml,8
use cases,1
software engineering,1
skills,2
competencies,1
ecosystems,1
models,3
researchers,1
document similarity,1
text comparison,1
similarity criteria,1
intervention,1
project,4
odra,1
translation studies,2
marco polo,3
digital editing,7
ancient greek,1
named entity recognition,2
urban mapping,1
art galleries,1
cologne,1
deep map,1
public,1
practice,4
concepts,1
linked data,8
data publishing,1
openrefine,1
data reconciliation,1
3d reconstruction,2
geisteswissenschaften,1
research methodology,2
digital modeling,1
virtual reconstruction,4
implementation,1
cultures,1
transatlantic,1
discourse,2
discussion,2
comparison,1
historical accounts,1
economic modeling,1
research support,1
historical clothing,1
contextualization,1
fashion history,1
code-switching,1
turkish language,1
heidelberg,1
academic,3
music,4
coding,2
dimensions,1
paleography,4
medieval,9
alexander von humboldt,2
print edition,1
hybrid edition,2
interconnectedness,1
editions,2
medieval law,1
early middle ages,1
legal texts,1
hybrid publishing,1
film studies,4
film corpora,1
vocational education,1
job advertisements,1
historical context,5
repetition,1
critique,3
innovation,4
transfer,1
research institute,1
institutional development,1
academic discipline,1
regional focus,1
german academia,1
research field,1
reading techniques,1
theater,3
reconstruction,3
space,2
empathy,2
coreference,1
drama analysis,1
character types,1
classification,2
feature extraction,1
archiving,3
scholarly editing,9
digital publication,2
academic collaboration,1
openatlas,1
byzantine empire,1
balkan,1
sentiment analysis,3
stance detection,1
argument mining,1
automated analysis,1
3d scanning,4
autonomous,1
german studies,2
technological impact,2
scholarly practices,2
dance,1
imagery,2
motion analysis,1
4d modeling,1
historical visualization,1
city planning,1
spatial analysis,3
pietro d'abano,1
byzantine studies,2
address book,1
institutional support,1
services,2
language models,9
document,1
metaphysics,2
information,2
epos,1
geographical places,1
shahnameh,1
alsatian theater,1
macroanalysis,1
regional studies,2
trust,5
reliability,1
authenticity,2
amsterdam,2
art scene,1
digital exploration,1
sign languages,1
machine translation,2
opportunities,1
artist association,1
artists,1
young rhineland,1
pattern recognition,2
byzantine art,1
visuals,1
culture,7
perception,4
collection,1
images,3
knowledge graph,3
wikidata,3
fieldwork,1
distributed systems,2
text modeling,1
multilingual translation,2
translation process,1
optical surveying,1
sensor technologies,1
heritage conservation,2
measurement methods,1
classical heritage,1
interactive media,2
digital art,1
new media,1
archeology,1
printing,2
regional computation,1
travel,4
translation,3
socio-economic behavior,1
ancient community,1
ptolemaic period,1
network models,1
written sources,1
archaeological,2
bergisches land,1
approaches,2
content analysis,2
knowledge generation,1
narrative exploration,1
ontologies,4
scholarly communication,3
collections,2
university,6
humboldt,2
network,3
semantic spaces,1
multimedia annotations,1
spatial dimensions,1
artifacts,2
excavation,2
hieroglyphs,2
ancient egypt,2
stone inscriptions,1
monumental discourse,1
cultural studies,7
academic support,1
university of bonn,1
scholarly infrastructure,1
multidimensional data,1
data complexity,1
data compaction,1
urban development,1
city transformation,1
padova,1
text models,1
markup,2
3d documentation,1
syria,1
iraq,1
virtual museums,1
digital history,1
feature development,1
functionality,1
online exhibitions,1
latin american,1
experimental writing,1
image recognition,1
ancient seals,1
script analysis,1
roman pottery,1
installation,1
art,3
display,1
human senses,1
virtual enhancement,1
stylometry,3
authorship attribution,2
language patterns,1
community engagement,1
co-creation,1
historical reasoning,1
linking,3
ancient greece,2
early colonial mexico,1
historical sources,1
16th century,1
large-scale data,1
virtual,1
british literature,1
women writers,1
non-european cultures,1
experience,2
online research tool,1
histstadt4d,1
national library,1
data conversion,2
large scale,1
france,1
ancient history,3
online education,1
classical studies,2
e-learning,4
computer poetry,1
generative literature,1
theo lutz,1
stochastic texts,1
algorithmic writing,1
tropical forests,1
virtual worlds,1
text database,1
classical maya,1
ibsen,1
legacy data,2
performing arts,2
drama,3
stone age,1
lithic technology,1
community detection,1
purpose,1
keynote,1
eadh 2021,1
direction,1
goal,1
comparative politics,2
lived experience,1
cultural loss,1
global contexts,1
inscriptions,2
media,4
sign systems,1
representation,3
rti imaging,1
diy equipment,1
historical preservation,1
pandemic,1
competition,1
remote collaboration,1
city district,1
literary,2
energy,1
transition,1
photogrammetry,1
video analysis,2
visual media,2
computational thinking,1
problem-solving,1
archaeological sites,1
earth observation,1
automated detection,1
commercial applications,1
content creation,1
online platforms,2
cultural institutions,1
scholarship,2
paradigm shift,1
modelling,3
pictures,1
motion pictures,1
beyond text,1
scholarly trends,1
absence studies,1
historical architecture,1
justinian,1
hagia sophia,1
culturual heritage,1
research data,8
nfdi4culture,1
material culture,1
immaterial culture,1
narrative analysis,2
timeline extraction,1
disinformation detection,1
niger river,1
local terminology,1
hardware technology,1
immersive education,1
cylinder seals,1
ancient mesopotamia,1
image indexing,1
computational editing,1
sortes sanctorum,1
search engine,1
archaeological texts,1
cybernetics,2
communication,4
human relations,1
technology history,1
historical maps,3
indigenous medicine,1
geographical analysis,1
colonial mexico,1
disease remedies,1
multiple viewpoints,1
data challenges,1
evolving perspectives,1
humanities data,1
disagreement,1
documentation tools,1
heritage studies,1
digital archiving,1
procedural modeling,1
architectural heritage,1
grammar,1
late period,1
funerary monuments,1
toponyms,1
game,2
ancient,3
play,1
video,1
greek inscriptions,1
bulgaria,1
digital corpus,1
ancient texts,2
cariban languages,1
koriabo pottery,1
behavior,1
human,1
crmarchaeo,1
excavation documentation,1
lidar,1
amazon,1
bolivia,1
discovery,1
indigenous knowledge,1
archaeoinformatics,1
traditional ecological knowledge,1
computational archaeology,1
research practice,1
entangled africa,1
sp2143,1
scripts,1
languages,1
methodology,8
integration,1
fortification,1
nationalism,1
churches,1
tomb reconstruction,1
scholarly edition,3
pure3d infrastructure,1
image,2
wonder,1
digitalization,5
creation,1
sensory archaeology,1
3d analysis,1
advanced methodologies,1
archaeological interpretation,1
information credibility,1
source reliability,1
research trust,1
academic integrity,1
verification methods,1
byzantine,1
lead seals,1
text,2
audiovisual,1
layers,1
interpretation,3
coin analysis,1
large datasets,1
numismatics,1
multi-light,1
reflectance,1
technologies,2
artefacts,1
movement,1
3d,1
kinetic objects,1
inequality,2
research questions,1
data combination,1
digital lab,1
project management,5
monitoring,2
lifecycle,1
university initiatives,1
research projects,1
academic networking,1
software sustainability,1
research infrastructure,5
correspondence,4
letters,2
1900s culture,1
resource efficiency,1
online materials,1
social network analysis,3
zenon archive,1
papyrology,1
computational literary studies,5
close reading,4
herman melville,1
corpus linguistics,12
tei encoding,3
editorial practices,2
editorial tools,1
future technologies.,1
cultural data,1
hackathon,1
historical information,1
fernando pessoa,1
portuguese literature,1
collaborative project,2
web presentation,1
standards,3
cultural context,1
spatiality,1
novels,2
literary history,7
folklore,1
graph mining,1
witch tales,1
spatial computing,1
mixed reality,1
higher education,1
gender roles,1
literary analysis,9
historical literature,1
character profiling,2
medieval texts,3
work environment,1
prose,2
middle ages,1
interface design,2
typography,3
data presentation,1
medieval spanish,1
text recognition,4
xml/tei,1
transkribus,1
tesseract,1
bias,2
critical analysis,1
biblical studies,1
interdisciplinary methods,1
drama ,1
text analysis ,1
computational analysis ,1
literary history ,1
gender,6
theology,1
computational edition,1
interactive texts,1
ai methods,1
long-term accessibility,1
martyrdom literature,1
platform analysis,1
technical aspects,1
teacher training,1
ancient languages,2
project evaluation,1
basic programming,1
source code,1
workflows,1
data quality,3
evaluation,1
computational literature,4
algorithmic approaches,1
genre,2
quantitative analysis,6
video games,6
greek mythology,1
characterization,1
cultural reception,1
diversity,2
data infrastructure,3
travel diary,1
indigenous populations,1
xml-tei,1
georeferenced map,1
historical buildings,1
immersive environments,1
ai text generation,1
information science,1
communication studies,1
text automation,1
pommern,1
swedish land survey,1
ethics,6
information society,2
competency,1
computational text analysis,2
research challenges,1
workflow planning,1
literary comparison,1
multilingualism,2
world literature,1
emotion analysis,2
applications,2
fundamentals,1
classical philology,2
potentials and limitations,1
research ethics,2
privacy,2
integrity,1
data extraction,3
full text,1
text objects,1
survey research,1
quantitative data,1
cognition,1
historical analysis,4
intelligence evolution,1
smartness,1
ngrams,1
word embeddings,2
data-driven,2
text corpora,6
part-of-speech tagging,1
romance languages,1
linguistic analysis,5
digital techniques,1
computational art,1
text digitization,3
political science,1
digital research,3
digital resources,1
saxony,1
research techniques,1
applied approaches,1
parthenon,2
restitution,2
virtual media,2
big data,4
multimodal communication,1
communication research,1
geospatial data,2
historical culture,1
text generation,2
training data,1
textual outputs,1
large models,1
data processing,2
technology integration,1
school modernization,1
neural networks,6
wikisource,1
wiktionary,1
wikimedia,1
collaborative platforms,1
political participation,1
equality,1
contrastive linguistics,2
practical applications,1
foundational concepts,1
reading,1
interaction,2
semantic analysis,3
knowledge extraction,1
computer art,1
visual studies,2
digital analysis,3
computer,2
curriculum,1
schooling,1
resilience,1
future,3
management,1
doctrine,1
sorbian language,1
corpus texts,1
text collection,2
german linguistics,2
cataloging,1
historical networks,1
nodegoat,1
oral history,1
audio,2
media literacy,1
xml encoding,2
correspondence metadata,1
letter metadata,1
layout analysis,1
text annotation,2
tei guidelines,2
music transcription,1
optical music recognition,2
music analysis,1
music information retrieval,1
graph databases,2
data querying,1
prosody recognition,1
audio poetry,1
conference,2
apis,1
open data,1
iiif,2
data interoperability,2
prometheus,1
user needs,1
team roles,1
agile methodologies,1
epigraphy,1
editorial environment,1
text modelling,2
data exchange,1
scholarly knowledge,1
usability,2
design thinking,1
user-centered design,1
egyptology,2
formal models,1
multimodality,2
trends,1
cultural practice,1
interpretations,1
virtualization,1
interdisciplinarity,2
arno schmidt,1
web portal,1
full-text search,1
ocr processing,1
readability,1
eye tracking,1
digital text,1
empirical research,1
fair data principles,1
data management plans,1
rdm organizer,1
mathematics,2
informatics,3
operations research,1
formalization,1
distributional semantics,1
machine learning.,2
digital strategies,1
collection exploration,1
gender stereotypes,1
global inequality,1
cultural diversity,1
social justice,2
monument diversity,1
historical narratives,1
speech representation,1
linguistic change,1
covid-19,2
word games,1
etymology,1
language trends,1
prosopography,4
visual analytics,2
historical network analysis,1
patristic texts,1
standardization,1
categorization,2
resistance,1
sociopragmatics,1
german history,1
geospatial analysis,1
information technology,3
research tools,2
institutional collaboration,1
text types,1
theory formation,1
eleventh century,1
christian world,1
conflicting information,1
historical perception,1
document processing,1
crowd-sourcing,3
linguistic resources,2
rdf,1
lexical databases,1
text interpretation,1
mixed methods,2
key passages,1
manual annotation,1
university services,1
interdisciplinary projects,1
historical semantics,1
lexical resources,1
noun compounds,1
human ratings,1
computational models,1
inclusivity,2
evaluation methods,1
active learning,1
dictionary compilation,1
uwe johnson,1
digital infrastructure,1
web 3,1
memoirs,1
governance,1
historical text corpora,1
lexicography,6
word history,1
corpus annotation,1
language processing,1
songtext analysis,1
large language models,3
scientific writing,1
literary texts,4
language use,1
digital corpora,1
press language,1
prompt engineering,1
agentic workflows,1
interdisciplinary applications,1
multimodal data,1
ephemeral data,1
gender analysis,1
gender representation,1
contemporary texts,1
workflow,1
retrieval augmented generation,1
data retrieval,1
chat prompting,1
fine-tuning,1
lexicology,1
manchu language,1
historical dictionaries,1
archaelogy,1
sculpture,1
career,1
video processing,1
geostatistics,1
theatrical performances,1
german theatre,1
website functionality,1
literary scholarship,2
literary text,1
societal function,1
definition,2
digital objects,1
disciplinary identity,1
scholarly primitives,1
knowledge production,3
cultural memory,1
knowledge access,1
phd research,1
germany,4
text selection,1
romanticism,1
linguistic features,1
phenomenology,1
space representation,1
interactive theater,1
digital performance,1
theater writing,1
pandemic impact,1
theater innovation,1
philosophy,7
disciplinary structure,1
recipe extraction,1
neo-latin texts,1
books of secrets,1
alchemy,1
ancient christian literature,1
patristics,1
project challenges,1
concept analysis,1
semantic neighborhood,1
nlp tools,1
latin language,1
antiquity,1
scientific explanation,1
lexicons,1
poetry,5
ancient literature,1
author networks,1
junggrammatische schule,1
academic networks,1
translations,1
yiddish,1
variety,1
soviet history,1
ethnography,2
tajik ssr,1
socialist ideology,1
imperial classification,1
latour,1
science and technology studies,1
historical novels,1
18th century,4
19th century,5
folktale narratives,1
database construction,1
hierarchical clustering,1
european-mediterranean tradition,1
literary mapping,1
latin america,1
academic roles,1
discourse analysis,2
gender studies,5
research profiles,1
europa,1
intellectuals,1
connections,2
ideology,1
czech literature,1
faculty,1
digital lexicon,1
african literature,1
non-book media,1
global visibility,1
tragedy,1
joanna baillie,1
charles harpur,1
seas,1
literary reception,1
sappho,1
digital paradigms,1
literary phenomena,1
game narrative,1
hades,1
variable storytelling,1
ludology,1
knowledge base,1
theatre,1
datasets,2
academic communities,1
sociology of science,1
literary canon,1
gdr literature,1
cultural magazines,1
literary magazines,1
giorgio vasari,1
provenance,2
tracking,1
scope,1
medieval europe,1
editorial requirements,1
annals,1
python,1
scripting,1
petrus von poitiers,1
gaming,1
computers,1
science,2
linguistic ambiguity,1
textometry,1
pala fra project,1
digital linguistics,1
english literature,1
teaching methods,1
hermeneutics,3
medieval literature,6
computational annotation,1
aesthetic semantics,1
technology ,1
methods ,1
applications ,1
scientific illustrators,2
stuttgart,2
gnt,1
medieval poetry,1
manuscript studies,2
language technology,3
algorithmic methods,1
regional history,1
data portal,1
information access,1
academic professionals,1
historical periods,1
engineers,1
computer science,1
interdisciplinary learning,1
costume design,1
scientific methods,1
pastoral,1
novel,1
internet,1
loanwords,1
grammatical systems,1
language contact,1
argument structure,1
linguistic borrowing,1
visual culture,4
rowlandson,1
archival preservation,1
data storage,3
analog methods,1
cloud computing,2
data longevity,1
historical acoustics,1
speech reconstruction,1
public speaking,1
sound visualization,1
graphics,1
computational poetics,1
narrative genres,1
quantitative approaches,1
genre theory,2
character speech,1
fiction analysis,1
literary devices,1
textual studies,1
colour management,1
color,2
scanning,2
historical records,1
biographical data,1
historical,1
metaphors,1
parzival,1
wolfram von eschenbach,1
character relationships,2
captivity,1
american,2
roberto busa,1
metrics,1
goals,1
theory,3
geodesy,1
historical auxiliary sciences,1
auxiliary sciences,1
archival science,2
experimental methods,1
statistical analysis,2
language studies,1
origins,1
evolution,2
analytics,2
software architecture,1
introductory,3
subdisciplines,1
processes,1
organization,1
web technologies,2
dropbox,1
modern technologies,1
relational databases,1
document-oriented databases,1
database applications,1
hacking,1
information security,1
computer systems,1
data protection,1
intelligent interfaces,1
internet services,1
scalability,1
availability,1
problem solving,1
visual programming,1
bpmn,1
business process,1
code simplicity,1
data models,2
uml,1
petri nets,1
visualization limitations,1
computational theory,1
algorithmic solvability,1
computational complexity,1
problem efficiency,1
computer limitations,1
astronomy,1
quality criteria,1
curation,4
usage,1
decision making,1
morality,3
comics,2
narrative complexity,1
marvel,1
dc,1
community,4
guidelines,1
narrative levels,1
global information networks,1
historical newspapers,2
oceanic exchanges,1
information tracing,1
born-digital objects,1
full-text indexing,1
digital images,1
media theory,2
material aesthetics,1
artistic commentary,1
architectural reconstruction,1
data documentation,1
zettelkasten,1
niklas luhmann,1
sociology,2
research portal,1
social impact,1
algorithmic culture,1
quantitative literary studies,1
quantitative,2
textual genetics,1
archival studies,1
editorial processes,1
spatial reference,1
narrative perspective,1
textual deixis,1
giovanni domenico tiepolo,1
visual storytelling,1
exorcism,1
spirituality,1
reproduction,1
rhetoric,2
field change,1
graph,2
model,1
categories,1
texts,1
stochastic processes,1
historical comparison,1
digital media,3
superheroes,1
cultural production,1
interfaces,1
explanatory,1
drama studies,1
theater analytics,1
graphs,2
norm data,1
mhdbdb,1
newspaper archives,2
collaborative knowledge,1
studies,2
feminism,2
intersectionality,1
environmental studies,3
human-environment interaction,1
socio-cultural factors,1
games,2
media studies,3
computer-assisted analysis,1
color analysis,1
audiovisual content,1
geovisualization,2
world war ii,1
colombia,1
indigenous groups,1
web interface,1
lecture,1
series,1
chatbots,2
quantum computing,1
spanish literature,1
character analysis,1
golden age,1
political bias,1
content generation,1
arthurian romance,1
theoretical frameworks,1
identity,1
personal experiences,1
document layout analysis,1
historical prints,1
theoretical models,1
academic publishing,3
text archives,1
xml annotation,1
handwritten documents,1
data access,2
editing,1
information circulation,1
quantitative linguistics,1
dialectometry,1
language mapping,1
romance studies,1
geolinguistics,1
web-based research,1
linguistic empiricism,1
collaborative structures,1
methodological change,1
italy,1
computing,1
tradition,1
software evolution,1
textuality,1
interpretive methods,1
scholarly crisis,1
research-based learning,1
student involvement,1
scholarly work,1
transliteracy,1
interdisciplinary cooperation,1
knowledge exchange,1
creative pedagogy,1
data formats,1
data sharing,4
visual turn,1
protest photography,1
cultural change,1
literature trends,1
causal mechanisms,1
literary characterization,1
binary classification,1
cultural artefacts,1
film adaptation,1
dialogue analysis,1
intertextuality,2
pride and prejudice,1
fanfiction,1
reader interactions,1
participatory culture,1
interpretive communities,1
concording,1
technological challenges,1
computing history,1
theater research,1
statistics,1
visualizations,1
southeast asian drama,1
research design,2
literary computing,1
romance novels,1
popular fiction,2
domestic space,1
character sound,1
network graphs,1
nonfiction,1
data availability,1
archival hospitality,1
qualitative data,1
semiotic ideologies,1
sociotechnical,1
assemblages,1
anthropology,2
dictionaries,1
trier,1
networking,1
sciences,1
source data,1
online platform,1
artistic works,1
queer identities,1
border control,1
voice recognition,1
colonialism,1
spatial cognition,1
human mobility,1
cognitive models,1
agent-based simulation,1
podcasts,1
academic outreach,1
artwork catalog,1
republic,1
convention,1
negotiations,1
constitution,1
open licensing,1
copyright,1
european law,1
intellectual property,1
content management,1
data usage,1
islamic history,2
algorithmic analysis,1
social history,1
case study,2
vienna,2
welcome,1
public access,1
academic datasets,1
engagement,1
history patterns,1
time machines,1
mechanical turks,1
false promises,1
silk road studies,1
computational philology,1
asian languages,1
mnemonic,2
revolution,3
open,1
transparency,2
islamic studies,1
medieval history,1
large-scale data analysis,1
language change,1
lexical research,1
repurposing,1
online resources,1
habsburg,1
binary,1
introducing,1
initiation,1
scholars,1
intellectual history,1
memory,2
grave mapping,1
online publication,1
semantic tagging,1
peter handke,1
digital transformations,1
digital humanism,1
vienna library,1
city hall,1
art analysis,1
historical ecology,1
ecocriticism,1
silk road,3
university wien,1
viennese art,1
literary editing,1
auden musulin,1
archival papers,1
social modeling,1
premodern era,1
middle east,1
revolutions,1
ecology,1
pandemics,1
digital republic,1
perspectives,1
reassembled,1
ottoman,1
travelogues,1
nature,1
university of vienna,1
cultural analytics,2
information leaks,1
data privacy,1
big,1
linked,1
predictive modeling,1
future technologies,1
structured,1
visual analysis,3
tangible intangible,1
virus,1
epidemics,1
climate,1
portability,1
lists,1
scale,1
small texts,1
language data,2
netherlands,1
clarin,1
european integration,1
ict technologies,1
open ecosystem,1
political perspectives,1
biography,2
nation,1
vision,1
knowledge design,1
learning spaces,1
french history,1
visual data,1
artificial vision,1
global philology,1
classical traditions,1
language diversity,2
european identity,1
linguistic engagement,1
collecting,1
curating,1
humanities knowledge,1
information management,1
data objectivity,1
data transformation,1
human-readable data,1
information representation,1
design decisions,1
data insight,1
unstructured data,1
open standards,1
text transcription,2
digital music,1
music editing,1
editorial roles,1
academic thinking,1
embeddings,2
sociolinguistics,2
language variation,1
semantics,2
materiality,2
meaning-making,1
visual similarity,1
ai recommender systems,1
platform bias,1
data archiving,1
simplicity,1
cultural migration,1
complex systems,1
museum data,1
handwritten text recognition,1
ai models,1
multilingual scripts,1
mass digitization,2
print culture,1
electronic textuality,1
culturomics,1
construction grammar,1
power relations,1
interactivity,1
uncertainty,1
frequency,1
critical theory,1
relationships,1
dialects,1
interviews,1
market circulation,1
private market,1
center,1
text access,1
marginalia,1
annotations,2
academic editing,1
dissertation,1
non-linear structures,1
user centered design,1
online editing,1
budget,1
academic heritage,1
fair data,1
books,1
information objects,1
praxeology,1
historical legal sources,1
digital archives,2
search functionality,1
multilingual collection,1
pattern matching,1
textual editing,1
stemmatology,1
graphonomics,1
historical advertisements,1
church pews,1
swiss history,1
policy,1
image archives,1
document indexing,1
text retrieval,1
internet governance,1
cultural artifacts,1
trade fair,1
microcomputers,1
game studies,2
game mechanics,1
game design education,1
play theory.,1
distant viewing,1
multimodal information,1
violence,1
reception,1
rhetorical analysis,1
software preservation,1
computer games,1
emulation,1
medieval manuscripts,2
electronic writing,1
textual interpretation,1
automatic speech recognition,1
linguistic research,1
corpus transcription,1
sociolinguistic datasets,1
speech recognition accuracy.,1
failure,2
big tech,1
silicon valley,1
manuscript loss,1
icelandic sagas,1
literary survival,1
htr,1
llm,1
post-correction,1
knowledge understanding,1
reverse engineering,1
data reconstruction,1
data critique,1
database forensics,1
linguistic patterns,1
language routines,1
language society,1
speech acts,1
jazz,1
research platform,1
german-speaking region,1
artificialia,1
mirabilia,1
europeana,1
data space,1
sociocultural,1
rights,1
law,1
instruments,1
eth zurich,1
form,1
individual,1
cathedral,1
acoustics,1
panorama,1
battle,1
murten,1
