Text;Size;Color;Angle;Font;Repeat;URL
Poetry;10;Random;Random;Random;No;
Publishing;10;Random;Random;Random;No;
Mapping;10;Random;Random;Random;No;
Methodology;10;Random;Random;Random;No;
Video;10;Random;Random;Random;No;
Games;10;Random;Random;Random;No;
Impact;9;Random;Random;Random;No;
Development;9;Random;Random;Random;No;
Transcription;9;Random;Random;Random;No;
Speech;9;Random;Random;Random;No;
Collection;9;Random;Random;Random;No;
Methodologies;9;Random;Random;Random;No;
Scientific;9;Random;Random;Random;No;
Practices;9;Random;Random;Random;No;
Fair;9;Random;Random;Random;No;
Overview;9;Random;Random;Random;No;
Languages;9;Random;Random;Random;No;
Exploration;9;Random;Random;Random;No;
Theater;9;Random;Random;Random;No;
Character;9;Random;Random;Random;No;
Computing;9;Random;Random;Random;No;
Distant;8;Random;Random;Random;No;
Academia;8;Random;Random;Random;No;
Retrieval;8;Random;Random;Random;No;
Crowdsourcing;8;Random;Random;Random;No;
Community;8;Random;Random;Random;No;
Practice;8;Random;Random;Random;No;
Global;8;Random;Random;Random;No;
Document;8;Random;Random;Random;No;
Sustainability;8;Random;Random;Random;No;
Programming;8;Random;Random;Random;No;
Automation;8;Random;Random;Random;No;
Principles;8;Random;Random;Random;No;
Vision;8;Random;Random;Random;No;
Algorithmic;8;Random;Random;Random;No;
Translation;8;Random;Random;Random;No;
Graph;8;Random;Random;Random;No;
Systems;8;Random;Random;Random;No;
Generation;8;Random;Random;Random;No;
Applications;8;Random;Random;Random;No;
Ethics;8;Random;Random;Random;No;
Museum;7;Random;Random;Random;No;
Geography;7;Random;Random;Random;No;
Evolution;7;Random;Random;Random;No;
Early;7;Random;Random;Random;No;
Environmental;7;Random;Random;Random;No;
Climate;7;Random;Random;Random;No;
Content;7;Random;Random;Random;No;
Interactive;7;Random;Random;Random;No;
Renaissance;7;Random;Random;Random;No;
Algorithms;7;Random;Random;Random;No;
Fiction;7;Random;Random;Random;No;
Multimodal;7;Random;Random;Random;No;
Collections;7;Random;Random;Random;No;
Source;7;Random;Random;Random;No;
Critical;7;Random;Random;Random;No;
Space;7;Random;Random;Random;No;
Archival;7;Random;Random;Random;No;
Epistemology;7;Random;Random;Random;No;
Writing;7;Random;Random;Random;No;
Sciences;7;Random;Random;Random;No;
Accessibility;7;Random;Random;Random;No;
Classification;7;Random;Random;Random;No;
Linking;7;Random;Random;Random;No;
Film;7;Random;Random;Random;No;
Context;7;Random;Random;Random;No;
Drama;7;Random;Random;Random;No;
Extraction;7;Random;Random;Random;No;
Classical;7;Random;Random;Random;No;
Game;7;Random;Random;Random;No;
Editorial;7;Random;Random;Random;No;
Analytics;7;Random;Random;Random;No;
Philosophy;7;Random;Random;Random;No;
Multimedia;6;Random;Random;Random;No;
Modern;6;Random;Random;Random;No;
Perception;6;Random;Random;Random;No;
Narratives;6;Random;Random;Random;No;
Human;6;Random;Random;Random;No;
Libraries;6;Random;Random;Random;No;
Simulation;6;Random;Random;Random;No;
Citizen;6;Random;Random;Random;No;
Archaeological;6;Random;Random;Random;No;
Nlp;6;Random;Random;Random;No;
Deep;6;Random;Random;Random;No;
Architecture;6;Random;Random;Random;No;
European;6;Random;Random;Random;No;
Storytelling;6;Random;Random;Random;No;
Politics;6;Random;Random;Random;No;
19th;6;Random;Random;Random;No;
Travel;6;Random;Random;Random;No;
Collaborative;6;Random;Random;Random;No;
Multilingual;6;Random;Random;Random;No;
Of;6;Random;Random;Random;No;
Future;6;Random;Random;Random;No;
Semantics;6;Random;Random;Random;No;
Sound;6;Random;Random;Random;No;
Ocr;6;Random;Random;Random;No;
Trust;6;Random;Random;Random;No;
Large;6;Random;Random;Random;No;
Diversity;6;Random;Random;Random;No;
Big;6;Random;Random;Random;No;
Lexicography;6;Random;Random;Random;No;
Historiography;5;Random;Random;Random;No;
Planning;5;Random;Random;Random;No;
Venice;5;Random;Random;Random;No;
Mobile;5;Random;Random;Random;No;
Interaction;5;Random;Random;Random;No;
Ecosystem;5;Random;Random;Random;No;
Projects;5;Random;Random;Random;No;
Platforms;5;Random;Random;Random;No;
Quality;5;Random;Random;Random;No;
Maps;5;Random;Random;Random;No;
Curation;5;Random;Random;Random;No;
Techniques;5;Random;Random;Random;No;
Electronic;5;Random;Random;Random;No;
Introduction;5;Random;Random;Random;No;
Trends;5;Random;Random;Random;No;
18th;5;Random;Random;Random;No;
Arts;5;Random;Random;Random;No;
Discourse;5;Random;Random;Random;No;
Critique;5;Random;Random;Random;No;
Innovation;5;Random;Random;Random;No;
Regional;5;Random;Random;Random;No;
Byzantine;5;Random;Random;Random;No;
Scanning;5;Random;Random;Random;No;
Services;5;Random;Random;Random;No;
Approaches;5;Random;Random;Random;No;
Age;5;Random;Random;Random;No;
Modelling;5;Random;Random;Random;No;
Digitalization;5;Random;Random;Random;No;
Objects;5;Random;Random;Random;No;
Correspondence;5;Random;Random;Random;No;
Political;5;Random;Random;Random;No;
Neural;5;Random;Random;Random;No;
Sources;4;Random;Random;Random;No;
Exhibitions;4;Random;Random;Random;No;
Landscape;4;Random;Random;Random;No;
Book;4;Random;Random;Random;No;
Participation;4;Random;Random;Random;No;
Criticism;4;Random;Random;Random;No;
Search;4;Random;Random;Random;No;
Evaluation;4;Random;Random;Random;No;
Cartography;4;Random;Random;Random;No;
Hybrid;4;Random;Random;Random;No;
Augmented;4;Random;Random;Random;No;
Participatory;4;Random;Random;Random;No;
Geospatial;4;Random;Random;Random;No;
Greek;4;Random;Random;Random;No;
Pottery;4;Random;Random;Random;No;
Creation;4;Random;Random;Random;No;
Instagram;4;Random;Random;Random;No;
Training;4;Random;Random;Random;No;
Period;4;Random;Random;Random;No;
Late;4;Random;Random;Random;No;
Antiquity;4;Random;Random;Random;No;
Engineering;4;Random;Random;Random;No;
Use;4;Random;Random;Random;No;
Lexical;4;Random;Random;Random;No;
Middle;4;Random;Random;Random;No;
Case;4;Random;Random;Random;No;
Topic;4;Random;Random;Random;No;
Handwriting;4;Random;Random;Random;No;
Institutional;4;Random;Random;Random;No;
Prototyping;4;Random;Random;Random;No;
Audio;4;Random;Random;Random;No;
Introductory;4;Random;Random;Random;No;
Interface;4;Random;Random;Random;No;
Comparison;4;Random;Random;Random;No;
Discussion;4;Random;Random;Random;No;
Paleography;4;Random;Random;Random;No;
Von;4;Random;Random;Random;No;
Humboldt;4;Random;Random;Random;No;
Law;4;Random;Random;Random;No;
Archiving;4;Random;Random;Random;No;
Detection;4;Random;Random;Random;No;
Technological;4;Random;Random;Random;No;
City;4;Random;Random;Random;No;
Images;4;Random;Random;Random;No;
Ontologies;4;Random;Random;Random;No;
Inscriptions;4;Random;Random;Random;No;
E-learning;4;Random;Random;Random;No;
Thinking;4;Random;Random;Random;No;
Indigenous;4;Random;Random;Random;No;
Datasets;4;Random;Random;Random;No;
Inequality;4;Random;Random;Random;No;
Novels;4;Random;Random;Random;No;
Roles;4;Random;Random;Random;No;
Bias;4;Random;Random;Random;No;
Platform;4;Random;Random;Random;No;
Genre;4;Random;Random;Random;No;
Society;4;Random;Random;Random;No;
Word;4;Random;Random;Random;No;
Embeddings;4;Random;Random;Random;No;
Prosopography;4;Random;Random;Random;No;
Production;4;Random;Random;Random;No;
Germany;4;Random;Random;Random;No;
Internet;4;Random;Random;Random;No;
Graphs;4;Random;Random;Random;No;
Sharing;4;Random;Random;Random;No;
Vienna;4;Random;Random;Random;No;
Silk;4;Random;Random;Random;No;
Road;4;Random;Random;Random;No;
Austria;3;Random;Random;Random;No;
Empire;3;Random;Random;Random;No;
Migration;3;Random;Random;Random;No;
Teaching;3;Random;Random;Random;No;
Artistic;3;Random;Random;Random;No;
Ontology;3;Random;Random;Random;No;
Contemporary;3;Random;Random;Random;No;
Market;3;Random;Random;Random;No;
Printing;3;Random;Random;Random;No;
Comics;3;Random;Random;Random;No;
Imaging;3;Random;Random;Random;No;
Biography;3;Random;Random;Random;No;
Aggregation;3;Random;Random;Random;No;
Authorship;3;Random;Random;Random;No;
Ecology;3;Random;Random;Random;No;
Spaces;3;Random;Random;Random;No;
Cognitive;3;Random;Random;Random;No;
Cities;3;Random;Random;Random;No;
Theoretical;3;Random;Random;Random;No;
Born-digital;3;Random;Random;Random;No;
Geographical;3;Random;Random;Random;No;
Datafication;3;Random;Random;Random;No;
Local;3;Random;Random;Random;No;
Archive;3;Random;Random;Random;No;
Code;3;Random;Random;Random;No;
Consumption;3;Random;Random;Random;No;
Tool;3;Random;Random;Random;No;
Circulation;3;Random;Random;Random;No;
Definition;3;Random;Random;Random;No;
Variation;3;Random;Random;Random;No;
Statistical;3;Random;Random;Random;No;
Structure;3;Random;Random;Random;No;
Dictionary;3;Random;Random;Random;No;
Lecture;3;Random;Random;Random;No;
Series;3;Random;Random;Random;No;
Application;3;Random;Random;Random;No;
Swiss;3;Random;Random;Random;No;
Bonn;3;Random;Random;Random;No;
Computation;3;Random;Random;Random;No;
Asian;3;Random;Random;Random;No;
Theatre;3;Random;Random;Random;No;
Semiotics;3;Random;Random;Random;No;
Football;3;Random;Random;Random;No;
Similarity;3;Random;Random;Random;No;
Marco;3;Random;Random;Random;No;
Polo;3;Random;Random;Random;No;
Cultures;3;Random;Random;Random;No;
Support;3;Random;Random;Random;No;
Field;3;Random;Random;Random;No;
Publication;3;Random;Random;Random;No;
Sentiment;3;Random;Random;Random;No;
Autonomous;3;Random;Random;Random;No;
Pattern;3;Random;Random;Random;No;
Wikidata;3;Random;Random;Random;No;
Optical;3;Random;Random;Random;No;
Annotations;3;Random;Random;Random;No;
Artifacts;3;Random;Random;Random;No;
Excavation;3;Random;Random;Random;No;
Complexity;3;Random;Random;Random;No;
Functionality;3;Random;Random;Random;No;
American;3;Random;Random;Random;No;
Seals;3;Random;Random;Random;No;
Patterns;3;Random;Random;Random;No;
Indexing;3;Random;Random;Random;No;
Perspectives;3;Random;Random;Random;No;
Close;3;Random;Random;Random;No;
Standards;3;Random;Random;Random;No;
Mixed;3;Random;Random;Random;No;
Work;3;Random;Random;Random;No;
Typography;3;Random;Random;Random;No;
Reception;3;Random;Random;Random;No;
World;3;Random;Random;Random;No;
Emotion;3;Random;Random;Random;No;
And;3;Random;Random;Random;No;
Limitations;3;Random;Random;Random;No;
Privacy;3;Random;Random;Random;No;
Romance;3;Random;Random;Random;No;
Guidelines;3;Random;Random;Random;No;
Portal;3;Random;Random;Random;No;
Informatics;3;Random;Random;Random;No;
Identity;3;Random;Random;Random;No;
Memory;3;Random;Random;Random;No;
Sociology;3;Random;Random;Random;No;
Hermeneutics;3;Random;Random;Random;No;
Manuscript;3;Random;Random;Random;No;
Storage;3;Random;Random;Random;No;
Relationships;3;Random;Random;Random;No;
Processes;3;Random;Random;Random;No;
Morality;3;Random;Random;Random;No;
Rhetoric;3;Random;Random;Random;No;
Interactions;3;Random;Random;Random;No;
Islamic;3;Random;Random;Random;No;
Revolution;3;Random;Random;Random;No;
Power;3;Random;Random;Random;No;
Seminar;3;Random;Random;Random;No;
Student;2;Random;Random;Random;No;
Transmission;2;Random;Random;Random;No;
User-centered;2;Random;Random;Random;No;
Oral;2;Random;Random;Random;No;
Interview;2;Random;Random;Random;No;
Wikipedia;2;Random;Random;Random;No;
Relational;2;Random;Random;Random;No;
Italian;2;Random;Random;Random;No;
Era;2;Random;Random;Random;No;
Hate;2;Random;Random;Random;No;
Cyberbullying;2;Random;Random;Random;No;
Complex;2;Random;Random;Random;No;
Prosody;2;Random;Random;Random;No;
Italy;2;Random;Random;Random;No;
Illustration;2;Random;Random;Random;No;
Metrics;2;Random;Random;Random;No;
Methodological;2;Random;Random;Random;No;
Frameworks;2;Random;Random;Random;No;
Argumentation;2;Random;Random;Random;No;
New;2;Random;Random;Random;No;
Visibility;2;Random;Random;Random;No;
Creative;2;Random;Random;Random;No;
Violence;2;Random;Random;Random;No;
Generative;2;Random;Random;Random;No;
Format;2;Random;Random;Random;No;
Manipulation;2;Random;Random;Random;No;
Reproducibility;2;Random;Random;Random;No;
French;2;Random;Random;Random;No;
Ecological;2;Random;Random;Random;No;
Energy;2;Random;Random;Random;No;
Cybersecurity;2;Random;Random;Random;No;
Policy;2;Random;Random;Random;No;
Basics;2;Random;Random;Random;No;
Concept;2;Random;Random;Random;No;
Tracing;2;Random;Random;Random;No;
Genres;2;Random;Random;Random;No;
Switzerland;2;Random;Random;Random;No;
Resource;2;Random;Random;Random;No;
Compilation;2;Random;Random;Random;No;
Question;2;Random;Random;Random;No;
Words;2;Random;Random;Random;No;
Translations;2;Random;Random;Random;No;
Reference;2;Random;Random;Random;No;
Talk;2;Random;Random;Random;No;
Maya;2;Random;Random;Random;No;
Folktale;2;Random;Random;Random;No;
Basel;2;Random;Random;Random;No;
Roman;2;Random;Random;Random;No;
Paris;2;Random;Random;Random;No;
Dh;2;Random;Random;Random;No;
Outreach;2;Random;Random;Random;No;
Transformations;2;Random;Random;Random;No;
Cologne;2;Random;Random;Random;No;
Display;2;Random;Random;Random;No;
Sensory;2;Random;Random;Random;No;
Initiative;2;Random;Random;Random;No;
Skills;2;Random;Random;Random;No;
Criteria;2;Random;Random;Random;No;
Named;2;Random;Random;Random;No;
Entity;2;Random;Random;Random;No;
Map;2;Random;Random;Random;No;
Concepts;2;Random;Random;Random;No;
Coding;2;Random;Random;Random;No;
Dimensions;2;Random;Random;Random;No;
Alexander;2;Random;Random;Random;No;
Print;2;Random;Random;Random;No;
Ages;2;Random;Random;Random;No;
Legal;2;Random;Random;Random;No;
Advertisements;2;Random;Random;Random;No;
Empathy;2;Random;Random;Random;No;
Types;2;Random;Random;Random;No;
Feature;2;Random;Random;Random;No;
Argument;2;Random;Random;Random;No;
Automated;2;Random;Random;Random;No;
Imagery;2;Random;Random;Random;No;
Motion;2;Random;Random;Random;No;
Metaphysics;2;Random;Random;Random;No;
Reliability;2;Random;Random;Random;No;
Authenticity;2;Random;Random;Random;No;
Amsterdam;2;Random;Random;Random;No;
Sign;2;Random;Random;Random;No;
Opportunities;2;Random;Random;Random;No;
Distributed;2;Random;Random;Random;No;
Process;2;Random;Random;Random;No;
Conservation;2;Random;Random;Random;No;
Behavior;2;Random;Random;Random;No;
Land;2;Random;Random;Random;No;
Hieroglyphs;2;Random;Random;Random;No;
Egypt;2;Random;Random;Random;No;
Stone;2;Random;Random;Random;No;
Markup;2;Random;Random;Random;No;
Experimental;2;Random;Random;Random;No;
Stylometry;2;Random;Random;Random;No;
Greece;2;Random;Random;Random;No;
Colonial;2;Random;Random;Random;No;
Mexico;2;Random;Random;Random;No;
Large-scale;2;Random;Random;Random;No;
Women;2;Random;Random;Random;No;
National;2;Random;Random;Random;No;
Conversion;2;Random;Random;Random;No;
Scale;2;Random;Random;Random;No;
Stochastic;2;Random;Random;Random;No;
Legacy;2;Random;Random;Random;No;
Performing;2;Random;Random;Random;No;
Comparative;2;Random;Random;Random;No;
Loss;2;Random;Random;Random;No;
Pandemic;2;Random;Random;Random;No;
Remote;2;Random;Random;Random;No;
Pictures;2;Random;Random;Random;No;
Material;2;Random;Random;Random;No;
Disinformation;2;Random;Random;Random;No;
Hardware;2;Random;Random;Random;No;
Immersive;2;Random;Random;Random;No;
Cybernetics;2;Random;Random;Random;No;
Relations;2;Random;Random;Random;No;
Procedural;2;Random;Random;Random;No;
Architectural;2;Random;Random;Random;No;
Grammar;2;Random;Random;Random;No;
Play;2;Random;Random;Random;No;
Scripts;2;Random;Random;Random;No;
Integrity;2;Random;Random;Random;No;
Audiovisual;2;Random;Random;Random;No;
Artefacts;2;Random;Random;Random;No;
Monitoring;2;Random;Random;Random;No;
Networking;2;Random;Random;Random;No;
Letters;2;Random;Random;Random;No;
Efficiency;2;Random;Random;Random;No;
Materials;2;Random;Random;Random;No;
Presentation;2;Random;Random;Random;No;
Profiling;2;Random;Random;Random;No;
Environment;2;Random;Random;Random;No;
Prose;2;Random;Random;Random;No;
Spanish;2;Random;Random;Random;No;
Workflows;2;Random;Random;Random;No;
Characterization;2;Random;Random;Random;No;
Survey;2;Random;Random;Random;No;
Workflow;2;Random;Random;Random;No;
Multilingualism;2;Random;Random;Random;No;
Cognition;2;Random;Random;Random;No;
Tagging;2;Random;Random;Random;No;
Parthenon;2;Random;Random;Random;No;
Restitution;2;Random;Random;Random;No;
Contrastive;2;Random;Random;Random;No;
Layout;2;Random;Random;Random;No;
Conference;2;Random;Random;Random;No;
Exchange;2;Random;Random;Random;No;
Usability;2;Random;Random;Random;No;
Egyptology;2;Random;Random;Random;No;
Multimodality;2;Random;Random;Random;No;
Interdisciplinarity;2;Random;Random;Random;No;
Full-text;2;Random;Random;Random;No;
Tracking;2;Random;Random;Random;No;
Mathematics;2;Random;Random;Random;No;
Justice;2;Random;Random;Random;No;
Covid-19;2;Random;Random;Random;No;
Categorization;2;Random;Random;Random;No;
Christian;2;Random;Random;Random;No;
Inclusivity;2;Random;Random;Random;No;
Governance;2;Random;Random;Random;No;
Dictionaries;2;Random;Random;Random;No;
Disciplinary;2;Random;Random;Random;No;
Books;2;Random;Random;Random;No;
Ethnography;2;Random;Random;Random;No;
Ideology;2;Random;Random;Random;No;
Construction;2;Random;Random;Random;No;
Tradition;2;Random;Random;Random;No;
Connections;2;Random;Random;Random;No;
Communities;2;Random;Random;Random;No;
Magazines;2;Random;Random;Random;No;
Provenance;2;Random;Random;Random;No;
Illustrators;2;Random;Random;Random;No;
Stuttgart;2;Random;Random;Random;No;
Cloud;2;Random;Random;Random;No;
Acoustics;2;Random;Random;Random;No;
Color;2;Random;Random;Random;No;
Auxiliary;2;Random;Random;Random;No;
Organization;2;Random;Random;Random;No;
Interfaces;2;Random;Random;Random;No;
Availability;2;Random;Random;Random;No;
Problem;2;Random;Random;Random;No;
Business;2;Random;Random;Random;No;
Simplicity;2;Random;Random;Random;No;
Usage;2;Random;Random;Random;No;
Newspapers;2;Random;Random;Random;No;
Aesthetics;2;Random;Random;Random;No;
Reproduction;2;Random;Random;Random;No;
Newspaper;2;Random;Random;Random;No;
Feminism;2;Random;Random;Random;No;
Geovisualization;2;Random;Random;Random;No;
War;2;Random;Random;Random;No;
Chatbots;2;Random;Random;Random;No;
Quantum;2;Random;Random;Random;No;
Handwritten;2;Random;Random;Random;No;
Structures;2;Random;Random;Random;No;
Textuality;2;Random;Random;Random;No;
Interpretive;2;Random;Random;Random;No;
Binary;2;Random;Random;Random;No;
Popular;2;Random;Random;Random;No;
Anthropology;2;Random;Random;Random;No;
Republic;2;Random;Random;Random;No;
Intellectual;2;Random;Random;Random;No;
Study;2;Random;Random;Random;No;
Mnemonic;2;Random;Random;Random;No;
Transparency;2;Random;Random;Random;No;
Objectivity;2;Random;Random;Random;No;
Sociolinguistics;2;Random;Random;Random;No;
Materiality;2;Random;Random;Random;No;
Surveillance;2;Random;Random;Random;No;
Sweden;2;Random;Random;Random;No;
Photographic;2;Random;Random;Random;No;
Fonts;2;Random;Random;Random;No;
2021;1;Random;Random;Random;No;
Strategy;1;Random;Random;Random;No;
Products;1;Random;Random;Random;No;
Audience;1;Random;Random;Random;No;
China;1;Random;Random;Random;No;
Housing;1;Random;Random;Random;No;
Padua;1;Random;Random;Random;No;
Classics;1;Random;Random;Random;No;
Isaac;1;Random;Random;Random;No;
Vossius;1;Random;Random;Random;No;
Leiden;1;Random;Random;Random;No;
Geomorphology;1;Random;Random;Random;No;
Marriage;1;Random;Random;Random;No;
Bigamy;1;Random;Random;Random;No;
Mobilities;1;Random;Random;Random;No;
Codices;1;Random;Random;Random;No;
Vossiani;1;Random;Random;Random;No;
Dissgea;1;Random;Random;Random;No;
Claria;1;Random;Random;Random;No;
Italia;1;Random;Random;Random;No;
Added;1;Random;Random;Random;No;
Value;1;Random;Random;Random;No;
Forms;1;Random;Random;Random;No;
Post-medial;1;Random;Random;Random;No;
Immediate;1;Random;Random;Random;No;
Pre-modern;1;Random;Random;Random;No;
Bookbindings;1;Random;Random;Random;No;
Catalogues;1;Random;Random;Random;No;
Bibliography;1;Random;Random;Random;No;
Islamophobia;1;Random;Random;Random;No;
Synthesis;1;Random;Random;Random;No;
Text-to-speech;1;Random;Random;Random;No;
Shakespeare;1;Random;Random;Random;No;
Extreme;1;Random;Random;Random;No;
Events;1;Random;Random;Random;No;
Activity;1;Random;Random;Random;No;
Fascist;1;Random;Random;Random;No;
Racial;1;Random;Random;Random;No;
Laws;1;Random;Random;Random;No;
Television;1;Random;Random;Random;No;
Awareness;1;Random;Random;Random;No;
Deindustrialization;1;Random;Random;Random;No;
Journal;1;Random;Random;Random;No;
Multispectral;1;Random;Random;Random;No;
Florence;1;Random;Random;Random;No;
App;1;Random;Random;Random;No;
Tour;1;Random;Random;Random;No;
Object;1;Random;Random;Random;No;
Catullus;1;Random;Random;Random;No;
Publics;1;Random;Random;Random;No;
Reflexive;1;Random;Random;Random;No;
Trustworthiness;1;Random;Random;Random;No;
Atlases;1;Random;Random;Random;No;
Human-ai;1;Random;Random;Random;No;
Performativity;1;Random;Random;Random;No;
Syntax;1;Random;Random;Random;No;
Treebank;1;Random;Random;Random;No;
Presentism;1;Random;Random;Random;No;
Historicism;1;Random;Random;Random;No;
Anecdotes;1;Random;Random;Random;No;
Co-design;1;Random;Random;Random;No;
Values;1;Random;Random;Random;No;
Condition;1;Random;Random;Random;No;
Issues;1;Random;Random;Random;No;
Islands;1;Random;Random;Random;No;
Entities;1;Random;Random;Random;No;
Clifi;1;Random;Random;Random;No;
Llms;1;Random;Random;Random;No;
Emotions;1;Random;Random;Random;No;
Inclusion;1;Random;Random;Random;No;
Microct;1;Random;Random;Random;No;
Minoan;1;Random;Random;Random;No;
Ceramics;1;Random;Random;Random;No;
Forming;1;Random;Random;Random;No;
Neuroscience;1;Random;Random;Random;No;
Sme;1;Random;Random;Random;No;
Censorship;1;Random;Random;Random;No;
Chinese;1;Random;Random;Random;No;
Sector;1;Random;Random;Random;No;
Crime;1;Random;Random;Random;No;
Anthology;1;Random;Random;Random;No;
Cyborg;1;Random;Random;Random;No;
Libre;1;Random;Random;Random;No;
Unix;1;Random;Random;Random;No;
Pandoc;1;Random;Random;Random;No;
Legislation;1;Random;Random;Random;No;
Lifestyle;1;Random;Random;Random;No;
Protocols;1;Random;Random;Random;No;
Notebooks;1;Random;Random;Random;No;
Autonomomaz;1;Random;Random;Random;No;
Mazarinades;1;Random;Random;Random;No;
Alignment;1;Random;Random;Random;No;
Medite;1;Random;Random;Random;No;
Pipeline;1;Random;Random;Random;No;
Centers;1;Random;Random;Random;No;
Footprint;1;Random;Random;Random;No;
Risk;1;Random;Random;Random;No;
Professional;1;Random;Random;Random;No;
Disciplines;1;Random;Random;Random;No;
Omeka;1;Random;Random;Random;No;
Mythography;1;Random;Random;Random;No;
Encyclopedic;1;Random;Random;Random;No;
Editorialization;1;Random;Random;Random;No;
Corsica;1;Random;Random;Random;No;
Patrimony;1;Random;Random;Random;No;
Debate;1;Random;Random;Random;No;
Rätoromanische;1;Random;Random;Random;No;
Footprints;1;Random;Random;Random;No;
Presence;1;Random;Random;Random;No;
Date;1;Random;Random;Random;No;
Mentions;1;Random;Random;Random;No;
Sms;1;Random;Random;Random;No;
Country;1;Random;Random;Random;No;
Interrogatives;1;Random;Random;Random;No;
Welsh;1;Random;Random;Random;No;
Religious;1;Random;Random;Random;No;
Fluid;1;Random;Random;Random;No;
The;1;Random;Random;Random;No;
Anchorite;1;Random;Random;Random;No;
Updates;1;Random;Random;Random;No;
Current;1;Random;Random;Random;No;
Lexikography;1;Random;Random;Random;No;
